Type of Event,Event Details,Event Date,Apply Closing Date,Link,Closing Date for Apply,Closing Time for Apply,Event Start Date,Event End Date,location,latitude,longitude
"Gandhi Shilp Bazar National, States, District",GSB(District)-Puri UH,25/12/2024 to 31/12/2024,2024-11-25 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzU2,2024-11-25,23:45:00,2024-12-25,2024-12-31,Puri UH,19.8134554,85.8312359
"Gandhi Shilp Bazar National, States, District",GSB(State)-Dehradun,27/12/2024 to 05/01/2025,2024-11-25 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzY1,2024-11-25,23:45:00,2024-12-27,2025-01-05,Dehradun,30.3164945,78.03219179999999
"Gandhi Shilp Bazar National, States, District",GSB(District)-Imphal,23/12/2024 to 29/12/2024,2024-11-25 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzg3,2024-11-25,23:45:00,2024-12-23,2024-12-29,Imphal,24.8107515,93.9386097
"Gandhi Shilp Bazar National, States, District",GSB(District)-Shantiniketan UH,24/12/2024 to 30/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzAx,2024-11-20,23:45:00,2024-12-24,2024-12-30,Shantiniketan UH,23.6776471,87.6852323
"Gandhi Shilp Bazar National, States, District",GSB(District)-Gaya,20/12/2024 to 26/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzI3,2024-11-20,23:45:00,2024-12-20,2024-12-26,Gaya,24.7913957,85.0002336
"Gandhi Shilp Bazar National, States, District",GSB(District)-Guntur UH,20/12/2024 to 26/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzM2,2024-11-20,23:45:00,2024-12-20,2024-12-26,Guntur UH,16.3066525,80.4365402
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kanyakumari UH,21/12/2024 to 27/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzM3,2024-11-20,23:45:00,2024-12-21,2024-12-27,Kanyakumari UH,8.0843512,77.54950190000001
"Gandhi Shilp Bazar National, States, District",GSB(State)-Ernakulam(cochin),22/12/2024 to 31/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzQx,2024-11-20,23:45:00,2024-12-22,2024-12-31,Ernakulam(cochin),9.9816358,76.2998842
"Gandhi Shilp Bazar National, States, District",GSB(State)-Jaipur,21/12/2024 to 30/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzY2,2024-11-20,23:45:00,2024-12-21,2024-12-30,Jaipur,26.9124336,75.7872709
"Gandhi Shilp Bazar National, States, District",GSB(District)-Bhuj UH,21/12/2024 to 27/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzcw,2024-11-20,23:45:00,2024-12-21,2024-12-27,Bhuj UH,23.2419997,69.6669324
